domain,epoch,logloss,mse,mean_a,mean_b,mean_c,mean_theta,std_theta
基本的なファイル管理,22,0.6244355280547939,0.21645415504455315,1.0185487846400378,-0.19639492223484362,0.15596518388711542,-0.33229906919404145,0.6607625501553268
基本的なファイル管理,23,0.6251008090813925,0.21673387346869935,1.0179565268965503,-0.2038844658235306,0.1562456602591525,-0.34489571711233985,0.6799493227207323
基本的なファイル管理,24,0.6259943025955316,0.21711983612099037,1.0171451475842448,-0.21126267752474553,0.15645759757866814,-0.35729909371425966,0.6986303076188204
基本的なファイル管理,25,0.6268351370110427,0.21748320143304908,1.0161198524087889,-0.21848159558223762,0.15674802689952574,-0.3694256095869484,0.7168614692371279
基本的なファイル管理,26,0.6278347889080359,0.21792309957306247,1.0148796068750372,-0.22557360186994077,0.15753465922934562,-0.381331984522504,0.734631540599035
基本的なファイル管理,27,0.6288649452402754,0.21837486877516307,1.0134279146704674,-0.23255538483682342,0.15803456599223448,-0.39304682651681644,0.7519683770195682
基本的なファイル管理,28,0.6298335787647542,0.21880006024407778,1.011754909656382,-0.23940767970352517,0.1586149255575464,-0.40453665084038826,0.7689181651148679
基本的なファイル管理,29,0.6307863573087915,0.2192195134686686,1.009883349581656,-0.24616076575541623,0.1594829253774259,-0.4158537172647938,0.785552431603552
基本的なファイル管理,30,0.6317483104999992,0.21964435432639612,1.0078001600576232,-0.25278437689244415,0.1599187096163796,-0.4269465972355644,0.8018231746277824
所有者とパーミッション,1,0.6985710779343933,0.25270363601929047,1.000113732772662,-0.013104005366945946,0.19347812209083312,-0.017034109709468254,0.040005536659388684
所有者とパーミッション,2,0.6908083390463965,0.24893774107815583,1.0005686868486834,-0.025888605931659845,0.18713335373960785,-0.033648393374240394,0.07853900103490513
所有者とパーミッション,3,0.6836928818436961,0.24546891077293836,1.0012917431155959,-0.03848316790404745,0.18092315578194168,-0.050013144254675374,0.11559784230338345
所有者とパーミッション,4,0.6772115459560591,0.24229875895026967,1.0022101236017862,-0.050804732601860136,0.1749043837900963,-0.0660191237341961,0.15112153612680762
所有者とパーミッション,5,0.6713117788500368,0.23940796897935016,1.0032550125253552,-0.06292940052086884,0.16906458675080357,-0.08176619705711255,0.1851380563161448
所有者とパーミッション,6,0.6659820732968089,0.23679517099396158,1.0043554705113769,-0.07486887420072533,0.1634074314945775,-0.09726914423736079,0.21759124924725554
所有者とパーミッション,7,0.6619981718325684,0.23484308496853062,1.0054507352521305,-0.08661303494070216,0.15936416970863107,-0.112515817881921,0.24857356143347853
所有者とパーミッション,8,0.6590235902306388,0.2333897429233915,1.0064920386973404,-0.09814182521816237,0.1565790091547196,-0.12747888977194904,0.27823091674285527
所有者とパーミッション,9,0.6570128335798997,0.23241224893112428,1.007397498823121,-0.10961174741274761,0.1550406685004047,-0.1423626205177044,0.3063854791557479
所有者とパーミッション,10,0.655987623781592,0.23191508690928128,1.0081274082576204,-0.12103972302395119,0.15508074830571916,-0.1571896632077538,0.33327078776008007
所有者とパーミッション,11,0.6554888944308587,0.2316699053995716,1.0086292132299448,-0.13240783418294877,0.15564431857077238,-0.17193592651210574,0.35882757105791696
